4	3
1157437834031	2.013355	620
1157437833814	1.855507	847
1157437838214	0.105534	627
1157437835130	2.150841	331
1157437841385	-0.448414	359
2	5
1174372125969	0.129265	616
1174372121526	-0.418114	639
1174372114851	2.563057	352
1174372114822	1.408199	348
1174372120421	0.499493	76
1174372153762	-0.113300	349
1174372130954	-0.466480	71
2	2
1178387054222	-0.311691	890
1178387165288	-0.412025	868
1178387002219	-0.200542	350
1178387169385	-0.569973	379
4	5
1192441418023	2.488903	861
1192441418011	1.061981	602
1192441417879	0.970650	606
1192441418825	-0.269611	864
1192441421720	1.648937	340
1192441420100	1.479527	343
1192441422122	0.796215	77
1192441424808	-0.285786	68
1192441429534	-0.873482	91
4	4
1193563022309	3.487370	619
1193563022075	1.193836	866
1193563023869	1.092331	891
1193563023077	0.763290	867
1193563025677	2.548584	121
1193563024362	1.947567	329
1193563025543	-0.181801	113
1193563023195	-0.268520	353
2	2
1204201108659	-0.375492	610
1204200932402	-0.927616	594
1204201038915	-0.324627	378
1204200982389	-1.066998	102
4	4
1204302274118	1.808071	581
1204302275164	0.986229	882
1204302276818	0.669247	891
1204302279419	-0.103737	590
1204302275992	1.906242	67
1204302275322	1.285534	361
1204302278921	0.119453	65
1204302276616	-0.030479	335
4	5
1211436886710	1.478691	852
1211436888934	0.697514	628
1211436887448	0.608181	619
1211436891926	-0.106682	846
1211436887279	2.085617	341
1211436886378	1.764004	327
1211436887488	1.754814	107
1211436891498	-0.314075	110
1211436795688	-1.292328	347
4	5
1218802875252	0.930470	579
1218802875920	0.776859	867
1218802877158	0.228764	866
1218802876934	-0.318825	588
1218802876139	1.484604	370
1218802875759	1.375111	68
1218802877251	0.365612	77
1218802877551	0.139103	360
1218802876301	-0.390251	355
4	4
1226448250503	1.534782	579
1226448250610	0.804081	832
1226448251753	0.448448	848
1226448253410	0.247147	577
1226448250068	1.590549	341
1226448250405	1.202450	71
1226448253350	0.796383	85
1226448251501	0.523525	327
4	4
1235802811804	1.445076	844
1235802813168	0.497597	594
1235802817730	-0.505653	835
1235802822178	-0.516281	839
1235802811460	2.334270	81
1235802811963	1.723518	328
1235802812633	0.226898	344
1235802817132	-0.320774	87
4	5
1250910871906	1.303146	834
1250910870711	0.872932	609
1250910872902	0.823666	585
1250910873949	0.590595	838
1250910869463	2.825703	73
1250910870399	2.247498	338
1250910871275	0.917366	354
1250910870603	0.878361	358
1250910898992	-1.488815	97
2	2
1251133457492	-0.674988	622
