Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
146, 6, 30873, 9.209584, 1, 4.974766, 3, 4.23008, 2, 0.004738, -1e+06, -1e+06, 100.65, 47.16411, 137.9892, -1e+06, 0, 1
147, 9, 7168, 10.34654, -1e+06, -1e+06, 4, 0.455415, 3, 5.513904, 2, 4.377224, -1e+06, 19.40354, 90.53909, 19.52782, 0, 1
148, 7, 13597, 7.638088, 3, -0.121624, 2, 3.773121, 1, 2.485111, 1, 1.50148, 556.2167, 77.23243, 6.765045, 65.51793, 0, 1
149, 8, 8420, 8.607667, 2, 2.252697, 2, 2.415188, 2, 1.73816, 2, 2.201622, 49.31534, 76.20049, 48.03757, 61.21351, 1, 1
150, 9, 21714, 7.51667, 2, 0.776409, 2, 1.899101, 3, 2.752579, 2, 2.088581, 9.945307, 81.32783, 23.74695, 67.06778, 0, 1
151, 8, 25524, 9.283063, 1, 0.143234, 3, 5.543873, 3, 0.529515, 1, 3.066441, 32.36737, 7.049569, 65.39514, 43.4356, 0, 1
152, 6, 2991, 11.45236, 1, 2.251984, 2, 3.50803, 2, 2.265526, 1, 3.426815, 38.74489, 53.5475, 52.05044, 63.26488, 1, 1
153, 7, 4039, 6.811364, 2, 1.649937, 2, 1.916649, 1, 1.032524, 2, 2.212254, 90.34146, 71.39901, 97.45585, 64.03997, 1, 1
154, 7, 4328, 4.167152, 2, 0.817959, 1, 0.953365, 2, 1.166668, 2, 1.22916, 47.35006, 10.91514, 37.86556, 20.1931, 1, 1
155, 6, 3487, 6.74118, 1, 0.378559, 1, 2.386536, 2, 1.794307, 2, 2.181778, 20.53996, 76.77096, 32.31169, 71.30949, 1, 1
156, 7, 10786, 5.373448, 1, 0.622982, 2, 1.668804, 2, 1.099171, 2, 1.982491, 91.81203, 74.22271, 86.88096, 79.08478, 1, 1
157, 8, 5369, 3.495998, 2, 1.131283, 2, 1.181072, 2, -0.134163, 2, 1.317806, 26.34206, 25.83113, 43.14825, 29.60245, 1, 1
158, 8, 6510, 6.149307, 2, 1.718159, 2, 1.271221, 2, 1.647476, 2, 1.512451, 91.99712, 57.85065, 79.59971, 67.64189, 1, 1
159, 7, 4839, 10.30604, 2, 5.029045, 1, 1.865654, 2, 1.735497, 2, 1.675843, 100.6574, 16.95458, 96.39634, 21.02124, 1, 1
